;t100;indep;t900;a201
452;2021-12;0;8325.325;Oel/Essig/Senf
453;2021-12;0;24414.733;Pasteten/Terrinen
454;2021-12;0;154123.91;Pilze
455;2021-12;0;8014.4;Post/cargo
456;2021-12;0;58376.37;Teigw./Spätzli/Gnoc.
457;2021-12;1;110316.5;Bofrost
458;2021-12;1;297621.86;Convenience
459;2021-12;1;3059.257;Federwild
460;2021-12;1;3282171.162;Fisch
461;2021-12;1;1510909.397;Fleisch
462;2021-12;1;9041.65;Früchte
463;2021-12;1;1449991.783;Geflügel
464;2021-12;1;28802.85;Gemüse
465;2021-12;1;95522.312;Haarwild
466;2021-12;1;6677.05;Kolonialwaren
467;2021-12;1;7519.25;Konserven divers
468;2021-12;1;1433006.195;Krusten/Sch-Weichtie
469;2021-12;1;61326.078;Milchprodukte
470;2021-12;1;784.7;Non Food
471;2021-12;1;28008.724;Nordsee
472;2021-12;1;11045.45;Oel/Essig/Senf
473;2021-12;1;30017.946;Pasteten/Terrinen
474;2021-12;1;176990.53;Pilze
475;2021-12;1;114;Post/cargo
476;2021-12;1;0;Sponsoring
477;2021-12;1;58152.94;Teigw./Spätzli/Gnoc.
478;2022-01;0;193856.55;Convenience
479;2022-01;0;3124.255;Federwild
480;2022-01;0;2991823.739;Fisch
481;2022-01;0;1824212.002;Fleisch
482;2022-01;0;9830.85;Früchte
483;2022-01;0;1441280.47;Geflügel
484;2022-01;0;20982.75;Gemüse
485;2022-01;0;15715.958;Gesperrte Artikel
486;2022-01;0;171760.056;Haarwild
487;2022-01;0;4984.832;Kolonialwaren
488;2022-01;0;5065.4;Konserven divers
489;2022-01;0;1366752.714;Krusten/Sch-Weichtie
490;2022-01;0;76855.012;Milchprodukte
491;2022-01;0;365.2;Non Food
492;2022-01;0;4072.07;Nordsee
493;2022-01;0;7516.2;Oel/Essig/Senf
494;2022-01;0;10203.538;Pasteten/Terrinen
495;2022-01;0;104705.188;Pilze
496;2022-01;0;504.8;Post/cargo
497;2022-01;0;0;Sponsoring
498;2022-01;0;53149.84;Teigw./Spätzli/Gnoc.
499;2022-01;1;203303.2;Bofrost
500;2022-01;1;351599.202;Convenience
501;2022-01;1;3582.887;Federwild
502;2022-01;1;3155250.628;Fisch
503;2022-01;1;1550241.215;Fleisch
504;2022-01;1;12903.7;Früchte
505;2022-01;1;1596088.043;Geflügel
506;2022-01;1;32322.65;Gemüse
